name,data_id,nsin,isin,initial_fee,ongoing_charges,capitalization,type,investment_focus,volume,performance_cy,performance_1y,performance_3y,performance_5y,volatility_cy,volatility_1y,volatility_3y,volatility_5y,max_drawdown_cy,max_drawdown_1y,max_drawdown_3y,max_drawdown_5y,months_positive_cy,capitalization_amount,capitalization_currency,performance_1m,performance_6m,volatility_1m,outperformance_3m,outperformance_1y
BNP-PARIBAS-EASY-MSCI-EUROPE-SRI-S-SERIES-5-CAPPED-UCITS-ETF-EUR-DIS-Fonds-LU1753045415,215472752,A2JFSU,LU1753045415,0.0,0.3,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.07,-0.77,-0.92,,,11.85,26.37,,,-3.19,-33.64,,,,,,,,,,
BNP-PARIBAS-EASY-MSCI-JAPAN-SRI-S-SERIES-5-CAPPED-UCITS-ETF-EUR-DIS-Fonds-LU1753045928,215472754,A2JFSV,LU1753045928,0.0,0.3,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",890.8,-0.95,4.69,,,17.02,20.57,,,-5.19,-24.96,,,,,,,,,,
BNP-PARIBAS-DEVELOPPEMENT-HUMAIN-PRIVILEGE-EUR-ACC-Fonds-FR0013276136,216656873,A2JGG7,FR0013276136,2.0,0.85,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.19,-1.91,-6.34,,,12.15,23.9,,,-4.4,-29.31,,,,,,,,,,
ABN-AMRO-FUNDS-LIONTRUST-EUROPEAN-SUSTAINABLE-EQUITIES-D-EUR-ACC-Fonds-LU1718323147,278509149,A2JGHK,LU1718323147,0.0,0.94,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",,-1.1,10.15,,,13.32,25.0,,,-4.22,-30.4,,,,,,,,,,
SICAV-ECHIQUIER-ECHIQUIER-AGENOR-SRI-MID-CAP-EUROPE-G-EUR-ACC-Fonds-FR0010581710,212891339,A2JGQ1,FR0010581710,3.0,1.53,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",2.5,-1.62,10.25,,,10.72,22.01,,,-2.98,-29.85,,,,,,,,,,
BNPP-CLIMATE-IMPACT-PRIVILEGE-EUR-DIS-Fonds-LU1721428263,217531617,A2JHAT,LU1721428263,3.0,1.4,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",2.35,1.78,22.28,,,19.36,29.04,,,-4.92,-34.58,,,,,,,,,,
ERSTE-WWF-STOCK-ENVIRONMENT-I01-EUR-DIS-Fonds-AT0000A20DU5,224831042,A2JHC0,AT0000A20DU5,4.0,0.97,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",950.31,7.82,83.25,,,32.06,32.9,,,-6.72,-37.75,,,100.0,,,,,,,
ERSTE-WWF-STOCK-ENVIRONMENT-I01-EUR-ACC-Fonds-AT0000A20DV3,224831047,A2JHC1,AT0000A20DV3,4.0,0.97,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",950.31,7.82,83.25,,,32.05,32.9,,,-6.72,-37.75,,,100.0,,,,,,,
TEMPLETON-GLOBAL-CLIMATE-CHANGE-FUND-A-H1-USD-ACC-H-Fonds-LU1803068623,215934248,A2JHHS,LU1803068623,5.75,1.83,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",783.82,2.05,9.23,,,18.7,28.92,,,-5.01,-31.11,,,,,,,,,,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-I-EUR-Fonds-AT0000A20EZ2,240542119,A2JHVP,AT0000A20EZ2,4.0,0.91,Vollthesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",549.39,0.25,4.22,,,10.64,25.96,,,-3.51,-30.16,,,,,,,,,,
